title,author_info,rating,pros,cons,helpful
Senior Electrical Engineer,"Jan 6, 2016 - Senior Electrical Engineer in Morrisville, NC",4,The team players are kind to each other. There is a good benefit package.,Leap time of project is long,Be the first to find this review helpful
nice place to work,"Dec 27, 2015 - Anonymous Employee",4,interesting projects to work on.,too dynamic for making long term project plan.,Be the first to find this review helpful
Ok,"Dec 26, 2015 - Anonymous Employee",3,Very nice building and the culture is awesome. Lots of young people and fun environment.,Uncertain future with Sony electronics. Hopefully things will continue to stay stable for a while,Be the first to find this review helpful
Sony,"Dec 10, 2015 -",5,Great company with a great culture,Difficult to move up for many,Be the first to find this review helpful
SW Verification Engineer,"Dec 17, 2015 - Software Verification Engineer in Bellevue, WA",3,"Good company environment, Good paid, Good Colleagues",Not good future. Business going bad.,Be the first to find this review helpful
Manager of Finance,"Dec 16, 2015 -",3,"Global organization, good opportunity. ok benefit, ok pay","Comoany too big, lack of communication",Be the first to find this review helpful
Lead SW Developer,"Nov 23, 2015 - Lead Technical Analyst in San Mateo, CA",5,Excellent Company . Especially if you are into gaming,Nothing specific to mention about,Be the first to find this review helpful
Marketing,"Dec 8, 2015 -",3,Some smart people passionate about the products.,Management has been weak for quite some time.,Be the first to find this review helpful
Senior software engineer,"Dec 7, 2015 - Anonymous Employee in San Francisco, CA",2,"Mix culture, lots of activities",Lack of vision about what to do,Be the first to find this review helpful
manager,"Nov 19, 2015 - Senior Junior Manager in Saint Cloud, MN",5,walkman type playback with food,learning to type in different languages on an ibm,Be the first to find this review helpful
Executive Assistant,"Dec 1, 2015 - Executive Assistant in New York, NY",3,I worked closely with the Assistants in the legal department and we got to be close friends. Sony is a good company to work for and you get to make great friends with your the people there.,Sony still tends to do things the old fashion way and upper management don't communicate with employees.,Be the first to find this review helpful
Counsel,"Nov 30, 2015 -",4,Great teamwork among colleagues. High quality team.,Limited opportunity to move up. Struggling businesses.,Be the first to find this review helpful
Awesome company,"Nov 10, 2015 - Senior Software Engineer in Redmond, WA",5,"This company was a pleasure to work for, we got stuff done.","Unfortunately, the studio was shutdown by Sony.",Be the first to find this review helpful
Analyst,"Nov 23, 2015 -",2,"Flexible schedule, great fellowship and fantastic company benefits. Company seems invested in each employees future goals.","Poor training and communication. Managers get fustrated you're not meeting their target, but dont tell you what the problem is until its too late.",Be the first to find this review helpful
Mechanical Engineer,"Nov 20, 2015 - Anonymous Employee",2,"Good people, high tech level","No work life balance, worked as most more than 24 hours straight.",Be the first to find this review helpful
Sony - Accounting,"Nov 17, 2015 - Administrative Assistant",4,Great workplace dynamic. Very welcoming community,Nothing to report. I loved working for Sony.,Be the first to find this review helpful
Audit Manager,"Nov 14, 2015 - Anonymous Employee in New York, NY",4,"Excellent work environment, supportive team, average work life balance","challenging upward growth, old office facilities",Be the first to find this review helpful
Good while it lasted,"Nov 10, 2015 - Anonymous Employee",4,"Great work-life balance and a really talented team. I really enjoyed the environment, and my team had a lot of autonomy.","It got shut down by it's parent company. Prior to that, the biggest disappointment was with production.",Be the first to find this review helpful
Good company,"Nov 6, 2015 - in Culver City, CA",4,Benefits are good and they take care of their employees,Hard to move up within the organization,Be the first to find this review helpful
Get paid well but not much work/life balance.,"Nov 4, 2015 -",4,Good benefits package and fair salary plus yearly raises.,Very hard to advance career there. You may get stuck in same position for a very long time.,Be the first to find this review helpful
see the below,"Nov 2, 2015 - Concept Manager in Cupertino, CA",3,work with a professional group of people,slow decision process in the product development without confidence,Be the first to find this review helpful
Brand Ambassador,"Oct 22, 2015 -",4,I was given the opportunity to test out and show off new products before most people knew about them.,It was difficult to convince my university to allow me to promote products on campus.,Be the first to find this review helpful
Top Down From Japan,"Oct 16, 2015 -",4,great multicultural environment got to attend great tech shows like IFA,Japan HQ calls all the shots and there's not room for innovation,Be the first to find this review helpful
senior project manager,"Oct 15, 2015 -",3,open work env and good work life balance,too often change in leadership,Be the first to find this review helpful
Laid off,"Oct 16, 2015 - Anonymous Employee",3,"Great experience, fair management, provided with free products and promos.","Laid off along with 10,000 other employees.",Be the first to find this review helpful
Department Manager,"Oct 6, 2015 -",3,Best company to work for. when I had the job a 5,Got laid off due to Nation wide store closings.,Be the first to find this review helpful
"Great company, no mobility","Sep 21, 2015 - Tax Intern in New York, NY",5,"Flexible schedule, friendly colleagues and an environment that fosters learning and development. Treated like a staff member, and not just an intern.",Little chance for growth as an intern. Work flow is inconsistent at times. Little to no interaction between departments.,Be the first to find this review helpful
Analyst,"Sep 28, 2015 - Business Operations Analyst in New York, NY",4,"Flexible hours, laid back environment, friendly employees","The training was very brief, and not very thorough. Luckily the other employees were very willing to help.",2 people found this review helpful
Investment,"Oct 3, 2015 -",4,Company is awesome and everyone is driven,I dont have much time,Be the first to find this review helpful
Great name to have on your resume.,"Sep 19, 2015 - Senior Associate in Park Ridge, NJ",4,Great company name to have on your resume. Globally recognized.,"Company needs to invest more in employees. There aren't many opportunities for development/networking, etc.",1 person found this review helpful
Executive Assistant,"Sep 21, 2015 - in Escondido, CA",2,Great people & above average benefits.,"Lack of leadership and stability. Sony has lost their way in the world of electronics and is trying to become whole with media & entertainment. In the process, alot of good people have lost their jobs.",Be the first to find this review helpful
Executive Assistant,"Sep 18, 2015 -",4,Large global corporation with several divisions. The usual benefits plan and some some corporate perks.,It is difficult to grow professionally within certain departments.,Be the first to find this review helpful
Marketing Manager,"Sep 2, 2015 - Anonymous Employee",5,"flex schedule, great management, challenging work",Long hours that are expected due to company culture,Be the first to find this review helpful
Great company,"Aug 20, 2015 - in Lake Oswego, OR",5,good benefits and solid management,"slow to make decisions, not open to input from lower levels",Be the first to find this review helpful
supervisor,"Aug 19, 2015 - Anonymous Employee",5,"international environment, good place to develop yourself.","the whole industry is declining now, hope they can get better.",Be the first to find this review helpful
Solid Opportunity,"Aug 27, 2015 - Software Engineer in San Francisco, CA",4,Good work and life balance. Cool technology,No parking allowance and minimal stock benefits,Be the first to find this review helpful
A better-than-average place to work,"Aug 26, 2015 - Anonymous Employee in New York, NY",4,Good people. International culture.,Decision-making is slow and Tokyo-centric. It's sometimes hard to know where a project actually stands.,Be the first to find this review helpful
Summer intern,"Aug 24, 2015 - in New York, NY",4,"Alot of information, learning, meeting new people",long hours and weekend work,Be the first to find this review helpful
Manager,"Aug 9, 2015 - Anonymous Employee",5,Great company that allows you to learn and grow. Lots of opportunities to create your own path. Out of the box thinking.,"The music business is constantly changing so the stability isnt guaranteed. You are only as good as your last accomplishment, which keeps you on your toes",Be the first to find this review helpful
Operational Excellence Intern,"Aug 8, 2015 -",5,"Sony was such a great company to work for. Even as an intern, it was one of the best experiences I've ever had.","Fast paced work environment, sometimes it required to work after business hours. Other than those two there were no cons at all.",Be the first to find this review helpful
Content Marketing,"Aug 22, 2015 - Content Marketing Assistant in New York, NY",4,"Good pay, professional yet casual environment, clean, polite people, engaging duties, and they are great at involving new hires in their business processes.",I felt just a bit out of place because I am not into following celebrities.,Be the first to find this review helpful
Business Development - Channel,"Aug 21, 2015 - in Boston, MA",4,"Innovative company, US represents 26+% of global business",Japan not a big fan of American Sony.,Be the first to find this review helpful
Logistics,"Aug 7, 2015 - Customer Fulfillment and Logistics Account Specialist in Atlanta, GA",4,Great insurance medical plan. Education program.,No possibility to grow or switch departments,Be the first to find this review helpful
Packaging engineer,"Jul 21, 2015 - Anonymous Employee in West Pittsburg, PA",5,Great upper management support and plant personnel,Travel to Japan we were only allowed coach seats,Be the first to find this review helpful
laid back but corporate,"Aug 4, 2015 - Production Coordinator",3,"it was a very laid back environment - everyone was ""friends"" inside the company but didn't talk much out - which is fine. the work i was doing was very data orientated and boring. there was not very mcuh room for growth",corporate and no room for growth,Be the first to find this review helpful
Troubled Conglomerate,"Jul 28, 2015 -",2,There is an Illy coffee shop in the lobby.,"Very rigid, yet similarly disorganized. Reminds you of a government agency.",1 person found this review helpful
"Big company, slow moving","Jul 26, 2015 - Anonymous Employee",3,"Sony has its advantages of having a recognizable brand and a lot of business will allow you in the front door, but once in you aren't always assured of getting the best deals.","Because the company is so large, its hard to move projects forward quickly. There is a certain disorganization because there are so many departments and people.",Be the first to find this review helpful
sony,"Jul 7, 2015 - Sales Representative in Houston, TX",5,managers were very chill and nice great hours and they were really flexible consistent customers,usual retail late hours tvs were usually harder to sell,Be the first to find this review helpful
ok Company,"Jul 20, 2015 - Anonymous Employee",3,"ok Environment, ok people to work with, ok salary, not very satisfactory. But over all a good experience and learning .",salary should be increased.People management should be more inclined towards the concerns of the people and and and and,Be the first to find this review helpful
A big no no,"Aug 9, 2015 -",1,is it aJoke...nothing at all,evrynthing abount it..can not go on writting all,Be the first to find this review helpful
Sales Expert,"Jul 18, 2015 - in Tinton Falls, NJ",2,Working with latest technology and gadgets,Management does not support entire sales team,1 person found this review helpful
"Director Purchasing,Operations,Manufacturing","Jun 29, 2015 - Director Purchasing, Operations, Manufacturing in Delray Beach, FL",5," I assessed companies’ manufacturing operations and suppliers, effectively identified areas of weakness, and then developed and implemented new process that slash material costs and increase revenue.","Lay Offs, Downsizing, Not fun to work for anymore!",Be the first to find this review helpful
Overall they are good,"Jul 13, 2015 -",4,they are fast and good custumer service.,there are not msny cons i can think of,Be the first to find this review helpful
Company,"Jul 12, 2015 - Senior Character Artist in Redmond, WA",3,Core team members get it own private office.,rates adjustment not yearly.,Be the first to find this review helpful
Product Marketing Manager,"Jun 28, 2015 - Anonymous Employee",5,"- Good pay, culture, products",- Disconnect between management and the people actually doing the work,Be the first to find this review helpful
Was fun while it lasted,"Jul 29, 2015 - Anonymous Employee",1,Great people. Interesting business problem.,"Sony's not serious about this business. If it's not electronics or movies, they're out,",Be the first to find this review helpful
Good experience,"Jul 1, 2015 -",4,"Great company, nice environment and great work life balance","Low pay, no career growth",Be the first to find this review helpful
Analyst,"Jun 3, 2015 - Anonymous Employee",5,"Great environment, training, support for education and great benefits",No cons found at all. Great work place.,Be the first to find this review helpful
Program manager,"Jun 17, 2015 -",2,Technology and cool things Large production and challenging,Very rigid process driven organisation Not sales oriented and that is why they messed up properly,Be the first to find this review helpful
Pretty good place to work,"Jun 12, 2015 -",3,"Decent benefits, nice people to work with","Management in transition, lots of job cuts",1 person found this review helpful
Great place to work,"Jun 8, 2015 - Premium Services Expert in New York, NY",4,"Family oriented, God loving, family","Needs more women, quickly runs low on product",1 person found this review helpful
Gone are the good ole days,"Jun 12, 2015 - Customer Support in New York, NY",2,Hires the best of the best,Future of Sony is uncertain. It is no longer the dream job due to constant layoffs.,Be the first to find this review helpful
Good Company,"Jun 10, 2015 - Anonymous Employee in San Diego, CA",3,Love this company and all the great people in it!,Industry taking a hit and this company is loosing in the competitive electronics world.,Be the first to find this review helpful
work,"May 22, 2015 -",5,kind and helpful good training,downsized so many people lost thier jobs,Be the first to find this review helpful
"You pick the title: Average, So-So, Not Bad/Not Great, Mediocre, Ok","Jun 1, 2015 - Anonymous Employee in New York, NY",3,"Ok: Pay, work/life balance, benefits, employee discounts on sony products Of course, work/life balance entirely depends on which department you are in and on who you have as a manager. My department was too ""corporate"" for my liking but this was due to the head of the department (my boss' boss). Most of the management in Sony Corporation of America have been around for ages, so this can be both good (they are experienced and knowledgable of the business) and bad (not so open to change). There are a lot of good people in the company but the morale is on the low side.","HR department needs replacing, some high level execs are more concerned with covering their behind than doing what is best for the company, no Employee Stock Purchase Plan, too much outsourcing, aging offices (soon this will change for the better), corporate culture needs a makeover, my department enforced business casual dress code (its the 21st century guys and Sony is not a blood sucking/soul destroying bank)",Be the first to find this review helpful
One of the best!,"May 28, 2015 - SALES LEADER/SPECIALIST in Pearland, TX",3,New and Interesting Electronics all the time.. Pay was descent for starting Sales roles.. Discounts were fair for employees Up to date on all the latest technology and games company VERY prideful of there name,Management was poor Alot of Attitude without direction Not enough room for advancement Poor business ethics Sometimes wouldnt budge on prices despite sales goals!,Be the first to find this review helpful
Look in a different direction,"Jun 11, 2015 -",1,"Typical 9-5 job, so if that's all you care about you're good.","Don't give in to the big name. This company and every single one of its divisions are going down the drain. Imagine your typical corporate hierarchy and multiply it. You're a female? Don't expect to move up any time soon. This company is so confused in its direction it is actually quite sad. The environment is clicky, when people quit or get fired there's gossip, the left hand doesn't know what the right hand is doing and everyone thinks they are better than the other. Huge disconnect with upper management and employees hold positions they definitely should not hold. My advice is to steer clear. You will not be happy, you will add to the huge turnover rate and you will fade in the background until someone beckons you. Sony- grow some values or go away because whether it's technology, music, entertainment, cameras etc. you really aren't relevant.",Be the first to find this review helpful
Manager/Director,"May 5, 2015 - in Cupertino, CA",5,Highly motivated for innovation and highly disciplined company.,Everyday commute from my home is tedious.,Be the first to find this review helpful
Lost its Edge,"May 18, 2015 - Anonymous Employee",3,"Learned a lot about various marketing avenues. For example learned many channels such as broadcast and display, segments such as cinema, home theater, education as well as b2b and retail",No more business plans with 3 years of focus. Product of the day and channel of the day.,Be the first to find this review helpful
Good place to work but always playing catch-up,"May 1, 2015 - Anonymous Employee",3,"Good place to work overall. Executive management is nearly all men. Young, talented, fun people to work with. Nice campus","Sony is playing catch-up to the rest of the industry. The brand remains strong, but resources are thin and long term strategy is sometimes in question",Be the first to find this review helpful
A top notch brand,"Apr 16, 2015 - in Calif City, CA",5,Great brand and culture. Refocusing on competing with the ever evolving non linear world of rich media content and devices.,"Sometimes management can fail to see the big picture, and fall on the traps of typical political arm wresting.",Be the first to find this review helpful
Internal Account Manager,"Apr 29, 2015 - Anonymous Employee",3,international environment and overall experience in business,not too many possibilities to grow,Be the first to find this review helpful
Analyst,"Apr 25, 2015 - Anonymous Employee",4,They have options in terms of opportunities for growth,"Old company, doing things really traditional",Be the first to find this review helpful
Software Engineer II,"Apr 21, 2015 - Software Engineer II in San Francisco, CA",3,Some great people and some smart leaders Opportunity to work some of the latest technology and devices Opportunity to work with a variety of teams across the organization,"SNEI is experiencing growing pains. As the organization has expanded they have recently adopted a framework known as SAFE (Scaled Agile). This has helped to facilitate collaboration between teams, however it has come at a substantial cost. Many engineering teams have been forced to designate dual role responsibilities for developers and qa engineers to fill the SAFE roles. (Scrum Master and Product Owner). This sort of work would ideally be done by Program or Product Managers, and is not optimal for someone that wants to focus on engineering duties.",Be the first to find this review helpful
good start,"Apr 8, 2015 - Anonymous Employee",4,"Great people, good pay, medical is good, great place to start your career going. Most employers see this and don't ask to many question if you worked for Sony",long hours. Also if your contract you're always getting laid off and hired again. Better to be employed,1 person found this review helpful
"Many good minds, slow progress.","Apr 5, 2015 -",2,"Genuine curiosity and care for quality work, great history.","Not enough competition, communication or collaboration between groups and individuals at any level or between (m)any levels.",Be the first to find this review helpful
Sony Mobile Employment Experience,"Mar 31, 2015 - Director in San Mateo, CA",4,Mobile industry is fast paced and competitive. Sony culture appreciates a healthy work life balance. Flexible work hours within reason given their mobile centric business.,Ensure Sony has a commitment to marketing and developing products for the US market. Decentralized organization structure can sometime lead to lack of accountability.,Be the first to find this review helpful
Hard choices ahead,"Mar 28, 2015 - Systems Manager in Los Angeles, CA",3,"Great benefits, people-centric HR policies",Extremely political. And you'll be lucky to have a job there in a year.,1 person found this review helpful
Alot of fun,"Mar 19, 2015 - Sales Associate in Seattle, WA",4,Being around state of the art electronics,Having to push as many bonus items as you can,Be the first to find this review helpful
great company with lots of opportunity for growth,"Mar 19, 2015 - Project Manager in San Diego, CA",4,"great challenges, engaging, decent work life balance, great time off policy","cumbersome, to many layers, to many approval layers, to many long term un-innovative staff members",Be the first to find this review helpful
A great company that has undergone a great many challenges and changes - the Mobile Division.,"Mar 15, 2015 - Anonymous Employee",4,"Fabulous employee benefits, exemplary work/life balance, wonderful people and terrific leadership within the North America customer unit. Camaraderie and teamwork was evident everyday. We were family. Pay was above average. Well-respected leadership. Happy environment. Business casual dress code. Everyone had the same goal in mind - to make the mobile business a success.",Too many people involved in the decision-making. Not enough attention paid to the people doing the work in the trenches and their recommendations. Not enough opportunities for growth within the ranks. Inept HR department - not thought of favorably by employees. Not much in the way of training.,Be the first to find this review helpful
You need to love Japanese culture to feel good after you Join the company.,"Mar 10, 2015 -",3,"Good package, work life balance",Very Japanese. No room to grow,Be the first to find this review helpful
A non stressful environment,"Mar 4, 2015 -",3,Very good work/life balance. A welcoming work culture. Employee discount on sony items at their own stores.,Projects do not feel long term. Compensation is low.,Be the first to find this review helpful
less,"Feb 2, 2015 -",5,"Good, motivate, product, passion, great","salary, management, product, global,sabbaticals",Be the first to find this review helpful
Director,"Feb 14, 2015 -",4,"Great people, global company a lot of opportunities to learn from others",None that I can think of. Enjoyed my tenure with the company.,Be the first to find this review helpful
VP,"Feb 11, 2015 - Anonymous Employee",4,"Innovative company, great technologies, good people","Poor leadership, get in own way from succeeding",1 person found this review helpful
Big name to put on your resume,"Mar 6, 2015 -",1,"Perks, benefits, 401k, great location","Discouraging work environment, throw under the buss culture",1 person found this review helpful
"Mature, professional, and stable workplace","Feb 12, 2015 - Interaction Designer in San Francisco, CA",4,"Decisions are clear, teamwork is great, and level of professionalism is excellent. This is a very considerate and international workplace, where people are treated with respect, from what I've seen.","Rather bureaucratic, with lots of old-school ""big corporation"" ways of doing things, such as archaic benefits administration software and performance review systems. Decisions drop from the top of the hierarchy ladder down like bombs occasionally. Creativity and innovation ""in the trenches"" is weeded out and ignored in a conservative, multi-tiered middle-management process.",Be the first to find this review helpful
"Descent company, not so good pay","Feb 9, 2015 - Anonymous Employee",3,"good work-life balance, great technology",not so good pay and benefits,Be the first to find this review helpful
Coordinator,"Feb 5, 2015 -",4,Good pay and nice people,tough work culture with too much self entitlement,Be the first to find this review helpful
BRANCH SERVICE CO-ORDINATOR,"Feb 2, 2015 -",3,"GOOD ATMOSPHERE TO WORK , STRESS LESS JOB","Growth is less, takes time to get promoted",Be the first to find this review helpful
"Talent and dedication among rank-and-file, but virtually no leadership","Jan 27, 2015 -",2,"Many smart, talented, dedicated colleagues, across company functions Strong brand awareness Diverse corporate portfolio",Stunning lack of leadership Inability to make tough decisions regarding corporate structure and operation Lack of realistic corporate strategy,2 people found this review helpful
Senior Information System Manager,"Jan 27, 2015 -",4,"Best and newest IT technology, good PMO and system project management methodology, business transformation IS.","overtime working, project schedule stress",Be the first to find this review helpful
Great company,"Jan 23, 2015 - Test Engineer",4,The coworkers were nice and there is great opportunity to learn.,Doing alot of the same thing from day to day,Be the first to find this review helpful
Not very great.,"Jan 22, 2015 - Anonymous Employee",3,"Lots of opportunities to think about international markets. Company has a history of innovation and if you like building cool stuff, more chances are that you'd be encouraged to work on them.","Very hierarchical structure as you'd expect of most of the Japanese companies. Decision making is slow. Inward looking, difficult to capitalize on innovative designs and fails to market them.",Be the first to find this review helpful
Great experience,"Jan 9, 2015 -",3,Business unit really independent from the corporation,Lack of growth inside of the business unit.,Be the first to find this review helpful
"Formerly admired brand, sadly now on the decline","Jan 8, 2015 - Manager in San Francisco, CA",2,"Everyone has heard of Sony, and if they're over 30, probably has fond memories of Sony products. The global web project was exciting, had a big scale (60 countries so far), and offered many learning opportunities. The team in San Francisco was a great mix of ad agency people and international Sony veterans.","Our office, and our work were casualties of Sony's overall stumbles; lots of quality compromises occurred due to the vast bureaucracy and myriad stakeholders, and now all the work is going back to Tokyo. Despite sharing an office with Sony Network Entertainment, we never collaborated with them, which was representative of the fractured corporate structure. The typical thing is for each internal business unit to look out for itself rather than the company and customer at large, which means that while Sony often designs great hardware, the interfaces and user experience and complementarity between products often falls short.",1 person found this review helpful
Lack of follow-through,"Jan 2, 2015 -",3,"Local teams are great to work with, strong benefits","Lack of consistent strategy and approach, arrogance of past brand strength history inhibits ability to freshen and rejuvenate the brand to todays audience.",1 person found this review helpful
Great company,"Dec 7, 2014 -",5,"Perks were great, got free electronics!",No cons for me. Everything good,Be the first to find this review helpful
Big company so lots of interaction with different people. Put on lots of different projects.,"Dec 22, 2014 -",4,NY is a great place and the people are all very friendly and talented. The team has some of the best people I have had the pleasure to work with in my 6 years of professional experience.,"Work life balance,. The IT and tech are not up to par considering this is a technology company.",Be the first to find this review helpful
It was great,"Dec 8, 2014 -",3,All the access to newest equipment,No time gor fun. All work.,Be the first to find this review helpful
Very fragmented dis organzed company,"Dec 26, 2014 -",1,Other co workers were very knowledgeable.,Company has no direction and is terrible communicating with employees.,Be the first to find this review helpful
marketing intern,"Nov 21, 2014 - Marketing Intern in Century City, CA",4,Big company so lots of interaction with different people. Put on lots of different projects. Pay was really good for how much work you do,No room for growth. Stubborn upper management.,Be the first to find this review helpful
Pretty awesome Experience,"Nov 4, 2014 - Rigging Supervisor in Bend, OR",5,Bend is a lovely place and the people are all very friendly and talented. The Character Modeling Supervisor and his team are some of the best people I have had the pleasure to work with in my 15 years of professional experience. They are very family oriented and it means alot to a father of two young children.,it is secluded and some of the folks there have become complacent and are waiting for their chance cash out.,Be the first to find this review helpful
Work hard and worker harder after that,"Oct 18, 2014 -",5,Great supervisors and good benifits,intense workload and extremely short staffed with everything being outsourced to india,Be the first to find this review helpful
"Overall, a good experience","Oct 23, 2014 -",4,Enough projects to find something you enjoy doing. Competent teams.,Teams seem isolated which sometimes leads to difficulty in communicating.,Be the first to find this review helpful
A decent company,"Oct 3, 2014 - Finance",5,Decent employee benefits including contributions and discounts(sometimes) the work is ok depending on which department you are in.,"Work life balance, for a technology company some of the tech that the employees are given isn't up to what it should be.",Be the first to find this review helpful
Efficient but not officious,"Sep 30, 2014 -",5,Great corporate culture (even in the midst of a huge staff layoff in March). HR is amazing.,"The leadership once Phil Molineaux left was never the same. New President has ""something to prove"" and is elitist.",Be the first to find this review helpful
Awesome place complety satified,"Oct 8, 2014 - Anonymous Employee",3,Friends are so happy with service,None just alot of people with alot of hurt of lost o f a love one,Be the first to find this review helpful
"This was an awesome company to work for, the staff is very professional.","Sep 29, 2014 - Assistance Production Accountant in Culver City, CA",3,"The producer of the show was very generous, and the atmosphere is very relaxed","The challenge of working there is that you have to fit into a certain click, and know whom to schmooze.",Be the first to find this review helpful
I know what happened...,"Aug 12, 2014 - Anonymous Employee in Redmond, WA",3,"Management invested substantially in hiring more staff--projects were not egregiously understaffed. Good in-house QA team. A great incubator for designer, programmer and artist talent.",Way too many producers. And one absolutely evil one bent on world domination using Zipper as ground zero.,Be the first to find this review helpful
Great company to work for,"Aug 7, 2014 - Technical Manager in Research Triangle Park, NC",4,"Work environment was very positive, and I worked with some of the best people of my career. Teams felt like family, we worked hard, and were well compensated. Good pay, good benefits, and great projects.","It was challenging to work at a remote site (not Sweden or Japan), as they often made major decisions without sufficient input or regard to the impact to other sites.",Be the first to find this review helpful
Great Company,"Aug 6, 2014 -",2,"Good experience, good people, great location","No structure, do not share company advancement available",Be the first to find this review helpful
A good company,"Jul 27, 2014 - Executive Assistant in New York, NY",4,They have a really good work life balance. The office culture is cool. You can wear jeans depending on the department you are in and on occasions you may be in the elevator with a big executive or a music star. The company is very verbal in the changes that are being made. You would hear from the CEO on several occasions.,"None, its a great company to work for. They have great benefits.",Be the first to find this review helpful
Great company overall,"Jul 15, 2014 -",4,Great brand name. The company offers employees good working environment. Still doing good with such a competitive industry.,The company does not offer the same level of career development opportunities as other companies in the similar industry.,Be the first to find this review helpful
Great company to work for as a Full time Employee.,"Apr 15, 2014 - Software QA Engineer in Foster City, CA",5,Meet deadlines and your golden. Relaxing environment and great coworkers. Always something new to do and to test.,Doesn't really care for temp employees. Doesn't pay too well. Getting a raise seams forbidden.,Be the first to find this review helpful
the best people you will ever find,"Apr 17, 2014 - Anonymous Employee in San Diego, CA",4,"Brand name unlocks tremendous opportunities in music, sports and entertainment spaces. Employees love the brand and want the best for Sony. Friendly office and co-workers become life long friends.","Company in significant decline. Atmosphere is pressured and does not reward risk. Everyone is stressed out about making the numbers and make knee jerk decisions, constantly changing direction.",2 people found this review helpful
Good company,"Apr 16, 2014 -",4,good company to work.good enviornment and work that time.,no cons at that time,Be the first to find this review helpful
Great place to work if you can handle ambiguity,"Apr 17, 2014 -",4,"Great people, beautiful facility, great benefits","Uncertain future, Japanese leadership sometimes make US employees feel like outsiders",Be the first to find this review helpful
On the decline,"Apr 11, 2014 - Sales Inventory Planner in San Diego, CA",3,You work with a lot of smart people and very stimulating. Always learning something new due to changes.,Decisions take a long time. A lot of managers and work in silos.,1 person found this review helpful
A falling giant,"Apr 8, 2014 -",3,If you are thinking working for a company that provides very good work-life balance. It is a company for you.,Slow career advancement and low employee moral. Sony is no longer a innovative company like it was before.,1 person found this review helpful
"Didn't get rich, but it paid the bills....","Mar 23, 2014 -",2,"Convenience - was close to my home. Management was flexible for family issues, leaving early, etc.",Poor/lack of technical training - only select few are chosen... as is career growth. Gotta kiss ass to get anywhere.,1 person found this review helpful
A great place to work,"Mar 24, 2014 - Manager in New York, NY",4,"Lots of opportunities, great people, great work environment, fun environment, access to great perks","management great an the work running the creative side of the business, but not always adept at the work of managing people",Be the first to find this review helpful
A sinking ship,"Mar 5, 2014 - Anonymous Employee",5,"Great benefits, Internationally known name, fair discounts on product purchases.","Shrinking in the Market, No longer a leader of new ideas",1 person found this review helpful
Cool gadgets and innovative technology,"Mar 21, 2014 - Product Support Specialist II in San Diego, CA",3,Innovative technology along with strong Brand presence.,too many silos which creates duplicate work and politics,Be the first to find this review helpful
A great company with many hurdles yet to overcome.,"Mar 19, 2014 - Anonymous Employee",4,"Inspiring, talented and diligent people, excellent benefits, very good salary, opportunity to partner with Sony sister companies on projects, wide range of high-profile projects, good work-life balance.","Dealing with a lot of ambiguity, quick turnarounds expected with little direction or clear purpose, minimal raises, room for growth is limited.",Be the first to find this review helpful
Was once a very good electronics company,"Apr 9, 2014 - Sales Associate in New York, NY",1,"Flexibility, as a part time student its easy to work, other than that the overall defects in machines and prices are ridiculous.","Bad work ethics, constantly forced to zone certain areas, not to talk to other associates on the sales floor...hello?? We are sales people talking is what we do and thats how the company makes money.",Be the first to find this review helpful
Learning adn rewarding,"Mar 18, 2014 - Distribibution Supervisor in Terre Haute, IN",3,Sony has been a good company to work for. The benefits are equal if not better thatn most companies and have good 401K and health insurance,"Company is at a point that due to the industry of DVD/CD manufacturing, it has had to make cut- backs. It looks not at experience to so the cuts but some are being cut long years of service. In this way the company saves money.",Be the first to find this review helpful
A Shadow of Past Greatness,"Mar 16, 2014 - Anonymous Employee",3,You are treated very fairly as an employee. Benefits are very good. Work conditions are good. Product quality overall is good.,"Used to be a market leader and develop new Technolog and create new markets, but now have degraded into a me-too company that copies others technologies and ideas. Heavy on admin and top level execs contributing little of substance or value. Mostly coasting on past glory.",Be the first to find this review helpful
awesome,"Mar 13, 2014 -",4,"great company, learning opps and career path",Pay is very low compared to industry standards,1 person found this review helpful
Too Many Changes that don't work,"Mar 13, 2014 - Manager in San Diego, CA",4,"Good people, smart people. Good work/life balance in the group I was in, but I don't think it's that way for all groups.",Too many changes in upper management. Re-orgs every year or so. Too many levels for approval. Too many levels to advance in a normal time frame.,1 person found this review helpful
"It was good, bad & great","Mar 12, 2014 - Promotions & Marketing in New York, NY",4,We had good music for the listeners,we had bad music & the CEO didn t respect the urban department,Be the first to find this review helpful
Digital Marketing,"Mar 9, 2014 -",3,Brand Affinity and Great Products,"Difficult Market Place - Hard for the US division to make impact-full changes when they are really driven from HQ in Tokyo, which thus makes it not an easy work environment",1 person found this review helpful
It was excellent while it lasted,"Mar 10, 2014 - Anonymous Employee in Research Triangle Park, NC",4,Start-up type work culture. Flexible hours. Excellent Benefits.,Needed better project management training.,Be the first to find this review helpful
Best job ever,"Feb 27, 2014 - Anonymous Employee",4,"Culture, travel. Products, dynamic industry","Poor performing software, product developers not on board through entire product life cycle.",1 person found this review helpful
Great while it lasted..,"Feb 24, 2014 - Anonymous Employee",4,"Actually fun to go to work. Great employees, managers, exciting environment, great pay.",Things are coming apart from up above.,2 people found this review helpful
