title,author_info,rating,pros,cons,helpful
Not a place for designers,"Jun 6, 2015 - Artist in Makati City",2,Sony is a reputable company which makes a nice label upon working there – the prestige you are looking for is definitely there.,"As an artist or as a designer, unfortunately, Sony isn't the place where you get to explore your creative talent.",4 people found this review helpful
Store Manager,"Jun 12, 2015 - Store Manager in Oshawa, ON",2,"fairly good compensation, products use to be leading edge, benefits ok, some good people. nothing else really to say.",poor communication. no clear direction. to many people worried about covering their butts. poor training.,Be the first to find this review helpful
radar signal processing,"Jun 10, 2015 - Anonymous Employee",3,"you can find lots of new ideas, new products here. quite international",the economy is not good recently,Be the first to find this review helpful
Not a place to work,"Jun 27, 2015 - Senior Software Engineer in Bangalore",1,"If you have good technical knowledge then you will get good works, so you will work in many technology.","Too much politics, you cannot survive in this. Salary are too much low as compare to market, I don't know why they are still following old salary structure. HR are like hell, they also participate in politics. Management is worse.",5 people found this review helpful
Great place to work - difficult to progress in career as no one leaves,"May 6, 2015 -",3,Open to out of box thinking,Poor Internal communication over organizational changes - causing uncertainty. Work/life balance difficult to manage.,Be the first to find this review helpful
Research Intern in Sony's European Technology Center,"May 4, 2015 - Research Intern in Stuttgart",4,Nice and friendly working environment. My supervisor provides his help as much as possible to my project and the outcome of the project is very good. We have one paper published and one patent filed. The company's benefits for employer is good as well.,"Because of Sony's financial state, it's difficult to get a full-time position there.",Be the first to find this review helpful
Engineer,"Apr 21, 2015 - Senior Software Engineer in Lund, Skåne",3,Fast pace company cool products,To much politics hard to do things,Be the first to find this review helpful
i am working with Sony india software centre,"Apr 16, 2015 - Anonymous Employee",3,will get global exposure to work with different types of clients,Bad politics at the senior manager level,Be the first to find this review helpful
"Good with people, lack of focus!","Apr 14, 2015 - Product Manager in London, England",4,"Great freedom work style, opportunities to move around the world, open minded. The work environment is friendly, offices are usually quite good.",Lack of focus and speed. Innovations have not been good enough which did not allow the company to deliver products with high margin away from the made in china high price erosion products. This creates some kind of negative spiral.,Be the first to find this review helpful
Awesome place to kickstart career,"Mar 29, 2015 - Senior Software Engineer in Bangalore",5,1. Great learning. 2. Visibility of work. 3. Senior management encourages young employee's to take risk and grow.,1. Project allocation is based on luck. 2. Some teams have internal politics.,Be the first to find this review helpful
IT Manager,"Apr 13, 2015 - in Tokyo",3,"Friendly people, good work-life balance, good salary, innovative culture","Long meetings, slow internal workflows",Be the first to find this review helpful
Nice company toó slow though,"Apr 8, 2015 -",3,"Very nice flexibility regarding working hours, nice enviroment at The office !! Could buy Sony products with very good prices! Local president very open and experienced !!","Very slow to make decisions, difficult to share resources between different subsidiaries, lots of steps looking for information and resources like product information.",Be the first to find this review helpful
Network platform service department in Tokyo,"Apr 3, 2015 -",3,"Working style is very flexible, it's different from usual Japanese company. And if you're interested in working for entertainment area, Sony will give you good opportunity.","Organization structure is not clear, and responsibility is too wide. There are many hurdles when you decide something, like meetings, negotiations, etc...",Be the first to find this review helpful
Life and work - balanced,"Mar 31, 2015 -",4,Office is not a pressure cooker.. I get personal space.. creativity is welcome at your own risk but not advised,If you love fast paced life.. keep your hands away.. company has a tendency to be at ease even when things are burning,Be the first to find this review helpful
It's amazing as Global Company. We can talk with all people in the companie without restrictions.,"Mar 29, 2015 -",3,As Global Company we have option to give you opinion and work with other divisions easilly.,As some companies still having some people that not give opportunities to others.,Be the first to find this review helpful
Good to learn and settle,"Mar 25, 2015 -",3,"Good to learn Good to settle Good benefits, work-life balance, lot of leaves","Not so good package, CTC structure is not so good, individual performance doesn't count",Be the first to find this review helpful
Good,"Mar 16, 2015 -",4,I like it so much because it's a japanese company,Nothing to say about cons of sony,Be the first to find this review helpful
"Good place to work for new graduates, bad choice for experienced","Mar 14, 2015 - Content Specialist in Istanbul",2,"Work environment can be fun, usually flexible, cares about team building","Dont care much about their employees, hierarchy is there but they pretend that they dont have it. Poor and awful choices of managers. No training although there is budget for it.",2 people found this review helpful
"Company is good, no doubt, in infrastructure.","Mar 12, 2015 - Technical Executive in New Delhi",2,"Good Food, Infrastructure, well maintained office","Bad Lead people, Strict Timing, Company can spend 1000 of dollars in Bathroom decoration, but not on employee.",1 person found this review helpful
Senior software engineer,"Feb 28, 2015 -",3,1 Good office campus 2. Good parties and fun time,1. Quality of work is bad,Be the first to find this review helpful
Nice Lifetime Experience with little or no work,"Feb 22, 2015 - Associate Consultant in Bangalore",3,"Less Work Load, More Holidays, Product Company, Brand Name, Exhaustive Training","Less compensation, Less Challenges, less learning",Be the first to find this review helpful
Senior Software Engineer,"Feb 15, 2015 - Senior Software Engineer in Bangalore",3,"Good work culture, Good environment,","Salary was less before , but now it is best in industry",Be the first to find this review helpful
Good people but no innovation,"Jan 22, 2015 - Software Developer in Lund, Skåne",3,Nice open work culture but not a very innovative work place. Has become to big.,Very inefficient organization in general. The work is also way to separated into functions and that created products that have less value and less efficiency.,Be the first to find this review helpful
Used to be good company,"Jan 19, 2015 - Senior IT Engineer in Singapore",3,Good brand name Decent Pay & Benefit Work life balance,No career development Cutting Cost & Retrenching staffs,Be the first to find this review helpful
Senior Salesforce Developer,"Dec 29, 2014 -",5,It's a salesforce global project.,"You need to communicate to all of the department for this project, so you must have a good Communication.",Be the first to find this review helpful
Good Company !!!,"Jan 8, 2015 - Team Leader in Bangalore",3,Good projects. Experienced people Best Technology You get frequest Japan onsite opportunities,Salary is not upto market standards management,Be the first to find this review helpful
Nice Company to work at.,"Dec 31, 2014 - Senior Software Engineer in Bangalore",4,"Good work, work place is good and good collegues. Opportunities to learn and work on latest technology. Work life balance is good. Good events like annual meet etc.",Delayed appriasals and result anounncement. Salary is a bit less compared to industry standards. Even though initial salary offer is good later increaments are not upto the industry standards. HR policies are fully not in place. Senior Management has lack of transperency,Be the first to find this review helpful
Good Company,"Jan 22, 2015 -",1,"work,career, hardwork, growth, career growth is good, usefull to enhance skills","salary is very less,no punctual",Be the first to find this review helpful
SONY Service Center,"Dec 9, 2014 -",5,"Used To be a SONY authorized service center,, closed up 2 years ago. Good services, professonally trained technicians","worked there for about 4 years, sometimes the service got delayed coz parts are not from Canada",Be the first to find this review helpful
Nice,"Dec 2, 2014 - Anonymous",5,"Great people, great location, nice environment",Not a great deal of integration,Be the first to find this review helpful
Great company that create many new products that change the world.,"Dec 12, 2014 - Software Engineer in Tokyo",3,Work with most talent people. Lots of,too strict to the working environment and hierarchy,Be the first to find this review helpful
++++++++,"Nov 27, 2014 - Software Engineer in Stockholm, Stockholm",5,"There are many advantages of working in Ericsson. To name a few, Flexibility Salary Environment Job Security Friendly coworkers,","Too complicated internal process, a lots of meeting",Be the first to find this review helpful
Not a bad company to work for,"Dec 9, 2014 - Hardware Engineer in Atsugi",3,Good working environment. Good office atmosphere. Everyone take job seriously and carefully. Some engineers are really skillful. And good training system.,Life and work balance is difficult to be obtained. Too many meetings and lack flexibility. Promotion needs time.,Be the first to find this review helpful
Its been nice,"Dec 6, 2014 -",3,Good environment for work and office,Not much of work in initial days.. so a bit frustrating,Be the first to find this review helpful
Need to be more visionary,"Dec 5, 2014 -",3,A lot of talented engineers,Senior managements are weak to envision what the company wants to become in 3 years time.,Be the first to find this review helpful
Good Place to work,"Dec 3, 2014 -",3,Good work culture and environment.,Pay is little less compared to market standards,Be the first to find this review helpful
not ideal if you looking for core programming job,"Dec 1, 2014 - Technical Lead in Bangalore",3,"Good annual outings, offers on Sony products,",Top management is not good. They don't understand your work at all.,Be the first to find this review helpful
"3.5 years into channel sales of multi products viz. Vaio, Xperia.","Nov 25, 2014 - RED Team in Calcutta",3,"Warm Environment, employee have a space to breath in. The entire team is very friendly, and supervisor are easy to approach. Sony as an employer looks into very details of employees basic hygiene.","Depending on such a big brand, Sony is a pathetic paymasters. The salary is too low compared to industry & the annual compensation increasing rate is very low.",Be the first to find this review helpful
"Not a company for people from development background,","Dec 15, 2014 - Lead Technical Analyst in Bangalore",1,"Discount on products specially given during diwali, Medical compensation","Only testing projects and very few maybe 2-3 maintainance project. Politics is in every organisation but some teams in Sony beat all. Only people who butter their bosses are retain ,if u open your mouth against any issue /any injustice spineless managers will throw you into some other projects. Girls are not treated with respect in some teams. They will hire developers and give work of testers. Even if you confirm that your role is of development while joining,suddenly any day they will change your team and you are forced to join testing projects. Dont trust anything which they tell you while joining,any fine day your project is changed and your profile changes from developer to tester. If you continue in testing project for long,then its become difficult to get back to development projects and your whole career is ruined. If you refuse to change your current project they will degrade you morally. Developers profile can change anytime into tester. Salary is low compared to other organisation.",1 person found this review helpful
normal company to work for,"Nov 23, 2014 - Part-Time Sales Associate",3,"big company, the experience in here is good for career growth in the long run.","management, as always be the problem. lack of support from the management.",Be the first to find this review helpful
Have been working almost a year under QA Division,"Nov 23, 2014 -",4,A lot of things we can learn.Big opportunity to build career in terms of knowledge and leadership.,There are different direction between local boss and Japanese management.,Be the first to find this review helpful
Company to be with for lifetime,"Nov 21, 2014 - Anonymous Employee",4,Employee friendly policies Above market average salary Great work life balance,Traditional organization structure; Training programs needs improvement,Be the first to find this review helpful
Micro-managed,"Dec 11, 2014 - Product Manager",1,Having Sony on your CV still looks good. Very little positive about this company and where they are heading,Company lack a clear direction and strategy. They believe their success from the 1980's is still relevant today and that being a market leader once means you will always be one (which is not the case). Heavily Micro-managed and continually reporting which leaves very little time for actual productive work. The Japanese culture and mentality is forced throughout the entire company. Long work hours are expected and vacation seen as a complete luxury.,Be the first to find this review helpful
Archaic Management Philosophies and High School Mentality,"Nov 5, 2014 - Support in Toronto, ON",2,"My peers were wonderful, they have a desire to do well, to help the customer and create a memorable customer experience. I'll also agree with the consensus and say the cafeteria is pretty damn good.","No sense of direction, management stifles creativity, decisions are made from the top down without considering the opinions or the input of the people those decisions affect. President has a ""take it or leave it"" attitude about being employed at Sony; if you don't like it, find something else. Company is bleeding employees and CANNOT hold onto talent because they don't harness it. Management doesn't understand the concept of human capital and that the employees are their greatest assets. Promotions are scarce. Recognition and kudos from upper management are non existent. Management concentrates on managing with little regard for LEADING.",2 people found this review helpful
Getting worse,"Sep 23, 2014 -",3,You can release world wide consumer products.,Compensation is getting lower than previous.,Be the first to find this review helpful
Initially a great place to work but the cost down culture killed any career chances,"Sep 4, 2014 - Anonymous Employee",3,"Sony people are great, some of the best in the industry","Outsourcing, offshoring, redundancies & latterly a global reorg where anyone based in Europe seems to receive the worst opportunities and/or a demotion.",2 people found this review helpful
Good place to work!,"Aug 31, 2014 -",4,"People are very helpful, flexible timings",Nothing much to complain about,Be the first to find this review helpful
"Tanking business with poor local, regional and global management","Sep 21, 2014 - Controller in Copenhagen, Capital Region",1,Huge discounts on products in all categories,"Poor environment, downsizing, micro mgmt from HQ, perks, career development, bonus, salary",Be the first to find this review helpful
